source,canonical
ADLETA INC,"Adleta, Inc."
"ADLETA, INC.","Adleta, Inc."
HOWELL CONTRACTORS INC,"Howell Contractors, Inc."
"HOWELL CONTRACTORS, INC.","Howell Contractors, Inc."
STANTEC CONSULTING SERVICES INC,Stantec Consulting Services Inc.
Stantec Consulting Services Inc.,Stantec Consulting Services Inc.
TREASURER STATE OF OHIO,Treasurer State of Ohio
"TREASURER, STATE OF OHIO",Treasurer State of Ohio
Treasurer State of Ohio,Treasurer State of Ohio
"Treasurer, State of Ohio",Treasurer State of Ohio
Treasurer-State of Ohio,Treasurer State of Ohio
"Strategies To End Homelessness, Inc.","Strategies To End Homelessness, Inc."
Strategies to End Homelessness,"Strategies To End Homelessness, Inc."
HIGHTOWERS PETROLEUM CO,Hightowers Petroleum Company
Hightowers Petroleum Company,Hightowers Petroleum Company
JACOBS ENGINEERING GROUP INC.,"Jacobs Engineering Group, Inc."
"JACOBS ENGINEERING GROUP, INC.","Jacobs Engineering Group, Inc."
Dugan & Meyers,Dugan & Meyers LLC
Dugan & Meyers LLC,Dugan & Meyers LLC
FIFTH THIRD BANK,Fifth Third Bank
Fifth Third Bank,Fifth Third Bank
OCHIN,"OCHIN, Inc."
"OCHIN, Inc.","OCHIN, Inc."
URBAN LEAGUE OF GREATER SOUTHWESTERN OHIO INC,Urban League of Greater Southwestern Ohio Inc
Urban League of Greater Southwestern Ohio,Urban League of Greater Southwestern Ohio Inc
PATRICK ENGINEERING,Patrick Engineering Inc.
Patrick Engineering Inc.,Patrick Engineering Inc.
MUNICIPAL & CONTRACTORS SEALING PRODUCTS INC,Municipal & Contractors Sealing Products Inc
"Municipal and Contractors Sealing Products, LLC",Municipal & Contractors Sealing Products Inc
CINCINNATI BELL TELEPHONE COMPANY,Cincinnati Bell Telephone Company LLC
CINCINNATI BELL TELEPHONE COMPANY LLC,Cincinnati Bell Telephone Company LLC
Cincinnati Bell Telephone Company LLC,Cincinnati Bell Telephone Company LLC
BURGESS & NIPLE INC,"Burgess & Niple, Inc."
"Burgess & Niple, Inc.","Burgess & Niple, Inc."
CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Cincinnati-Hamilton County Community Action Agency
Cincinnati-Hamilton County Community Action Agency,Cincinnati-Hamilton County Community Action Agency
CINCINNATI CENTER CITY DEVELOPMENT CORPORATION,Cincinnati Center City Development Corporation
Cincinnati Center City Development Corporation,Cincinnati Center City Development Corporation
